configuration_id,encryption_type,router_mode,channel_width,disassoc_low_ack,skip_inactivity_poll,hidden_ssid
137,psk+tkip+ccmp,N,40,0,1,1
138,psk+tkip+ccmp,AC,20,0,1,1
139,psk+tkip+ccmp,AC,40,0,1,1
140,psk+tkip+ccmp,AC,80,0,1,1
141,psk2+tkip,N,20,0,1,1
142,psk2+tkip,N,40,0,1,1
143,psk2+tkip,AC,20,0,1,1
144,psk2+tkip,AC,40,0,1,1
145,psk2+tkip,AC,80,0,1,1
146,psk2+aes,N,20,0,1,1
147,psk2+aes,N,40,0,1,1
148,psk2+aes,AC,20,0,1,1
149,psk2+aes,AC,40,0,1,1
150,psk2+aes,AC,80,0,1,1
151,psk2+tkip+ccmp,N,20,0,1,1
152,psk2+tkip+ccmp,N,40,0,1,1
153,psk2+tkip+ccmp,AC,20,0,1,1
154,psk2+tkip+ccmp,AC,40,0,1,1
155,psk2+tkip+ccmp,AC,80,0,1,1
156,psk-mixed,N,20,0,1,1
157,psk-mixed,N,40,0,1,1
158,psk-mixed,AC,20,0,1,1
159,psk-mixed,AC,40,0,1,1
160,psk-mixed,AC,80,0,1,1
